text,label
Company IT: Password reset required within 24 hours. Failure to comply will lock account view document here lawsuit notice.,1
eBay: Buyer has opened a dispute. Login to respond immediately review invoice login now to secure your account.,1
Your email storage is full. Upgrade now to continue receiving messages lucky draw.,1
Shopee: Your parcel is out for delivery.,0
Apple ID login from a new device detected. Confirm if this was you bpi otp .icu.,1
COVID-19 relief grant: You are pre-approved. Claim your funds today verify email settings g00gle.com.,1
Expedia: Your travel itinerary has been canceled. Re-login to restore.,1
Apple Music subscription renewal failed. Update billing info immediately help victims crypto giveaway.,1
Your account has been compromised. Click to secure it now cash advance.,1
Welcome aboard! Your employee account has been created.,0
"Congratulations! You have been selected to win $10,000 unauthorized withdrawal.",1
Invitation: Join our annual company picnic this Sunday.,0
FedEx: Your package is on hold due to missing information. Provide details to release it http://127.0.0.1 nft giveaway.,1
You have pending funds in your account. Log in to claim before they expire secure-dropbox.com.,1
Your community center membership has been renewed.,0
Congratulations! You’ve completed your fitness challenge this week.,0
Hulu: Your subscription will be canceled unless you update your payment urgent pdf.,1
Uber: Your ride account is suspended. Update billing info to reactivate.,1
Unusual withdrawal attempt detected. Verify to prevent account lockout.,1
Discord: Your account violates community rules. Log in to appeal login required immediately sap invoice.,1
Instagram: Your account is at risk of termination. Confirm login to keep it active.,1
We detected suspicious activity on your Netflix account. Re-login to verify binance login issue applecare renewal.,1
Newsletter: Top 10 travel destinations for 2025.,0
Spotify: Your playlist has been successfully updated.,0
University notice: Your student portal account will be disabled unless verified deactivation notice.,1
Reminder: Your library books are due back on Friday.,0
Your account has been suspended. Click here to verify your information.,1
Payoneer: Your funds transfer has been blocked. Verify your identity apply now to start earning.,1
Security breach detected in your account. Act fast to prevent damage g00gle.com.,1
Here are the meeting notes from today’s discussion.,0
QuickBooks: Payment error detected. Resolve issue by logging in here.,1
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss free eth immediate settlement required.,1
Your payment has been received successfully.,0
Bank statement for your checking account is now available online.,0
Your email storage is full. Upgrade now to continue receiving messages remote support session.,1
Crypto wallet withdrawal request detected. Cancel it if this wasn’t you fatca update.,1
IT Support: Mandatory security update required. Log in to apply the patch won.,1
Reset your password now or your account will be locked trib.al.,1
Your bank account will be closed in 24 hours unless verified.,1
T-Mobile: Account upgrade required to continue using 5G services anydesk session id.,1
PayPal: Your refund has been processed successfully.,0
New voicemail received: Click here to listen to the message revalidate kyc email quota exceeded.,1
Charity appeal: Donate now to help victims of natural disasters. Click to contribute ipasa ang otp exclusive deal.,1
Wells Fargo: Temporary suspension due to suspicious activity. Login to restore.,1
Delivery pending: Pay $2.99 shipping fee to release your package.,1
Jira: Sprint planning starts tomorrow.,0
Final warning: your account will be deactivated if you don’t act now! usps delivery failed ipasa ang otp.,1
Zoom: Meeting access suspended. Sign in to restore your account shrtco.de apple.verify.com.,1
You won a gift card! Enter your credentials to claim it payment advice.,1
DHL: Delivery attempt failed. Provide your address and payment to reschedule .icu rcbc verify.,1
We noticed unusual activity on your Gmail account. Re-verify your credentials.,1
Lottery Alert: You’ve been selected as a winner! Claim your prize immediately.,1
GitHub: New pull request opened in your repository.,0
Your driver’s license has expired. Renew immediately to avoid penalties free iPhone appⅼeid.apple.com.,1
Bank alert: Your savings interest report is now available.,0
Bitcoin wallet: Immediate withdrawal detected. Verify before funds are lost.,1
CitiBank: Your credit card has been temporarily disabled. Reactivate now grant remote access lifetime prize.,1
Reminder: Submit your project by Friday.,0
Company IT: Password reset required within 24 hours. Failure to comply will lock account norton subscription charged claim prize.,1
QuickBooks: Payment error detected. Resolve issue by logging in here fedex delivery pending.,1
Crypto wallet withdrawal request detected. Cancel it if this wasn’t you amaz0n-support.com.,1
Google Drive: Shared document requires you to login for access scan to claim reward.,1
Discord: Your account violates community rules. Log in to appeal guaranteed winnings secure-dropbox.com.,1
Uber: Your ride with driver John is arriving in 5 minutes.,0
Tax receipt for your recent donation is attached.,0
Apple Music subscription renewal failed. Update billing info immediately.,1
Wells Fargo: Temporary suspension due to suspicious activity. Login to restore payment failed linktr.ee.,1
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss.,1
Starbucks Rewards: You earned 50 bonus stars this week.,0
Suspicious login detected from overseas. Click here to secure your account duo push approval proforma invoice.,1
New voicemail received: Click here to listen to the message admin credentials required t.ly.,1
Crypto wallet withdrawal request detected. Cancel it if this wasn’t you tax refund tikt0k.com.,1
Welcome back! Your login to the university portal was successful.,0
Verizon: Unusual SIM card change request detected. Verify to secure your account i-reset ang password.,1
DHL: Delivery attempt failed. Provide your address and payment to reschedule vpn login required reward.,1
Reminder: Dentist appointment scheduled for Thursday at 11 AM.,0
Google Docs: A new comment was added to your document.,0
Your driver’s license has expired. Renew immediately to avoid penalties secure it now.,1
Your Microsoft account has been temporarily locked. Confirm your credentials .img file.,1
Venmo: You received a payment. Accept now to claim last chance secure-dropbox.com.,1
Outlook: New email filters applied successfully.,0
Thank you for attending our webinar yesterday.,0
T-Mobile: Account upgrade required to continue using 5G services.,1
Library: Your reserved book is now available for pickup.,0
Library: Your reserved book is now available for pickup.,0
Your bank account will be closed in 24 hours unless verified cash.,1
COVID-19 vaccine registration required. Fill out this form to confirm your appointment authenticator re-enroll.,1
Unpaid electricity bill: Pay immediately to avoid disconnection sponsor a child.,1
Thank you for updating your profile information.,0
Zelle: Incoming transaction requires verification. Confirm now transaction declined review.,1
