url,label
Zoom: Recording from your last meeting is available.,0
We noticed failed login attempts from a new device. Confirm if this was you.,1
New policy updates are now available on the company portal.,0
You won a gift card! Enter your credentials to claim it.,1
COVID-19 vaccine registration required. Fill out this form to confirm your appointment.,1
PayPal: Your refund has been processed successfully.,0
Apple: Your device warranty has been successfully registered.,0
Delivery pending: Pay $2.99 shipping fee to release your package.,1
Reminder: Your library books are due back on Friday.,0
AT&T: Your mobile bill payment failed. Login now to avoid service suspension.,1
Netflix: New shows added that you might like.,0
Here is your e-ticket for the event next week.,0
System maintenance scheduled for this weekend.,0
New blog post available – How to improve your coding skills.,0
Zoom: Your scheduled meeting link for tomorrow is ready.,0
Coursera: New recommended course available for you.,0
CitiBank: Your credit card has been temporarily disabled. Reactivate now.,1
Your tax refund is ready. Fill out the form to receive payment.,1
Government relief funds available. Submit your details to qualify.,1
Your Microsoft account has been temporarily locked. Confirm your credentials.,1
GitHub: Workflow completed successfully.,0
TripAdvisor: Here are new travel recommendations for you.,0
Google Drive: Shared document requires you to login for access.,1
Car insurance renewal confirmation attached.,0
Your email storage is full. Upgrade now to continue receiving messages.,1
Reminder: Dentist appointment scheduled for Thursday at 11 AM.,0
Boss: Urgent wire transfer needed. Respond immediately with confirmation.,1
Crypto wallet withdrawal request detected. Cancel it if this wasn’t you.,1
Bank: Your credit card bill is ready for payment.,0
Campus reminder: Midterm exams start next week.,0
Reset your password now or your account will be locked.,1
DHL: Delivery attempt failed. Provide your address and payment to reschedule.,1
New job opportunity: Earn $500/day working from home. Apply now.,1
Your account has been compromised. Click to secure it now.,1
Slack: You have 3 unread messages in #project-updates.,0
Security alert: unusual login detected. Login now to secure your account.,1
Apple ID login from a new device detected. Confirm if this was you.,1
Bank alert: Your savings interest report is now available.,0
Your course certificate is now available for download.,0
Your child’s school newsletter for October is ready.,0
Welcome back! Your login to the university portal was successful.,0
Invitation: Join our annual company picnic this Sunday.,0
Gift card reward: Activate your $200 Amazon gift card by confirming your details.,1
GitHub: New pull request opened in your repository.,0
Event registration successful. See you at the Tech Expo next month.,0
Hulu: Your subscription will be canceled unless you update your payment.,1
Thank you for attending our webinar yesterday.,0
Your PayPal account will be suspended unless you verify now.,1
T-Mobile: Account upgrade required to continue using 5G services.,1
Payment for your mobile plan has been received.,0
Security breach detected in your account. Act fast to prevent damage.,1
Unusual withdrawal attempt detected. Verify to prevent account lockout.,1
QuickBooks: Payment error detected. Resolve issue by logging in here.,1
Your car service appointment is confirmed for next Monday.,0
HSBC: Your online banking is locked. Log in to unlock access.,1
Reminder: Submit your timesheet before Friday noon.,0
Amazon: Your return request has been processed.,0
Google Calendar reminder: Meeting with project team at 4 PM.,0
Telegram: Your account will be restricted unless you confirm identity.,1
Newsletter: Top 10 travel destinations for 2025.,0
Payroll: Your direct deposit was declined. Verify your bank info to receive salary.,1
Dropbox: Shared folder requires you to login for access. Confirm credentials now.,1
Tax receipt for your recent donation is attached.,0
Your subscription has been renewed successfully.,0
Your account has been suspended. Click here to verify your information.,1
Weekly performance report attached for your review.,0
Doctor: Lab test results are ready for download.,0
Your gym class schedule for next week is confirmed.,0
Your health insurance policy has lapsed. Reactivate your account now.,1
Meeting scheduled at 10 AM tomorrow. Please confirm attendance.,0
Coursera: Congratulations! You completed the Python course.,0
